"CD_MUN";"NM_MUN";"SIGLA_UF";"ID";"Mun.Celulas";"Media_PM25";"Desvio_Padrao_PM25";"Min_PM25";"Max_PM25";"Ano";"Mes"
"2606705";"Ibirajuba";"PE";1539;157;8,45659769872192;0,138201199338212;8,04354476928711;8,77984237670898;2022;1
"2606804";"Igarassu";"PE";1540;257;10,2350619627808;2,66218116505758;7,03836822509766;16,3119621276855;2022;1
"2606903";"Iguaracy";"PE";1541;689;7,64411370605447;0,353763725080893;6,98150777816772;8,41462516784668;2022;1
"2607000";"Inajá";"PE";1542;1022;8,2969119152211;0,289529037639638;7,80371379852295;8,86137580871582;2022;1
"2607109";"Ingazeira";"PE";1543;199;8,01818060755131;0,121383935889728;7,76335382461548;8,29393863677979;2022;1
"2607208";"Ipojuca";"PE";1544;432;7,28411028906703;0,741803116503341;0,766498029232025;9,30895709991455;2022;1
"2607307";"Ipubi";"PE";1545;569;11,5513006840523;0,202304121406726;10,7229843139648;12,0665216445923;2022;1
"2607406";"Itacuruba";"PE";1546;354;7,92089616107402;0,218613958681793;7,57609558105469;8,32538986206055;2022;1
"2607505";"Itaíba";"PE";1547;869;8,10718588230936;0,261623991598395;7,37169122695923;8,59448719024658;2022;1
"2607604";"Ilha de Itamaracá";"PE";1548;53;11,5636496633854;0,929301509718176;10,0257587432861;13,860592842102;2022;1
"2607653";"Itambé";"PE";1549;247;7,82157516286441;0,662526444204126;6,50569868087769;13,9074020385742;2022;1
"2607703";"Itapetim";"PE";1550;337;7,79282573705611;0,116803895966691;7,44547986984253;8,0913257598877;2022;1
"2607752";"Itapissuma";"PE";1551;63;10,4033376300146;0,745957175931058;9,09627342224121;12,4625434875488;2022;1
"2607802";"Itaquitinga";"PE";1552;128;7,82458554953337;0,234929693810404;7,41749095916748;8,73865795135498;2022;1
"2607901";"Jaboatão dos Guararapes";"PE";1553;214;10,6445183107786;1,87665354834298;7,54737138748169;16,050386428833;2022;1
"2607950";"Jaqueira";"PE";1554;70;8,01641286441258;0,258314594148645;7,54668998718262;8,48799896240234;2022;1
"2608008";"Jataúba";"PE";1555;587;8,13709022239282;0,334066275405205;7,31788778305054;8,76035499572754;2022;1
"2608057";"Jatobá";"PE";1556;229;9,27192519325356;0,115335687619343;8,8842134475708;9,53272342681885;2022;1
"2608107";"João Alfredo";"PE";1557;112;8,30496560675757;0,241706945408342;7,98479747772217;8,94873428344727;2022;1
"2608206";"Joaquim Nabuco";"PE";1558;103;7,88598514760582;0,367704111149124;7,46333646774292;8,7898063659668;2022;1
"2608255";"Jucati";"PE";1559;101;8,37589086872516;0,373010909541517;7,68683195114136;8,86115741729736;2022;1
"2608305";"Jupi";"PE";1560;86;8,6673804327499;0,0975529538833366;8,47439956665039;8,95390319824219;2022;1
"2608404";"Jurema";"PE";1561;120;7,90360208352407;0,27937582018603;7,40255165100098;8,48101806640625;2022;1
"2608453";"Lagoa do Carro";"PE";1562;57;8,1900269274126;0,221411500202982;7,88863897323608;8,81404972076416;2022;1
"2608503";"Lagoa de Itaenga";"PE";1563;47;8,27687596260233;0,488767139263596;7,81282711029053;9,82932758331299;2022;1
"2608602";"Lagoa do Ouro";"PE";1564;162;7,40401413116926;0,044652386055005;7,2848424911499;7,4796895980835;2022;1
"2608701";"Lagoa dos Gatos";"PE";1565;181;7,46165964748319;0,110612380540534;7,11775875091553;7,75340509414673;2022;1
"2608750";"Lagoa Grande";"PE";1566;1521;10,3816058010274;0,52262367541765;9,18480205535889;11,7974653244019;2022;1
"2608800";"Lajedo";"PE";1567;154;8,65962387679459;0,132546840238819;8,36548233032227;8,99328899383545;2022;1
"2608909";"Limoeiro";"PE";1568;222;8,05813486941226;0,222616211307583;7,36734008789062;8,4576358795166;2022;1
"2609006";"Macaparana";"PE";1569;88;8,28902199051597;0,137319679766719;8,05923271179199;8,60092830657959;2022;1
"2609105";"Machados";"PE";1570;49;8,41981800235048;0,0907923125950583;8,26987743377686;8,60352993011475;2022;1
"2609154";"Manari";"PE";1571;283;8,10160659480011;0,342211871588388;7,32722568511963;8,76564502716064;2022;1
"2609204";"Maraial";"PE";1572;168;7,87209192060289;0,228085997046427;7,41122722625732;8,54321479797363;2022;1
"2609303";"Mirandiba";"PE";1573;674;11,1006953836549;0,449384994328978;9,68837833404541;11,8498601913452;2022;1
"2609402";"Moreno";"PE";1574;160;8,42922911643982;0,69411314135782;7,44979429244995;10,9061393737793;2022;1
"2609501";"Nazaré da Mata";"PE";1575;106;8,37031272222411;0,39041993579447;7,78079748153687;9,96485614776611;2022;1
"2609600";"Olinda";"PE";1576;34;15,2370859594906;1,80704891782962;12,8766393661499;19,1615695953369;2022;1
"2609709";"Orobó";"PE";1577;115;8,43254031305728;0,104391713351882;8,25956630706787;8,65709400177002;2022;1
"2609808";"Orocó";"PE";1578;452;10,9897972777881;0,443055512522561;10,0805740356445;12,5058221817017;2022;1
"2609907";"Ouricuri";"PE";1579;1958;12,0093856510517;0,515816572005706;10,0020475387573;13,3095111846924;2022;1
"2610004";"Palmares";"PE";1580;282;7,92594938075289;0,314901866048439;7,19240713119507;8,76394081115723;2022;1
"2610103";"Palmeirina";"PE";1581;140;7,8596595117024;0,211870329037166;7,41655540466309;8,12918186187744;2022;1
"2610202";"Panelas";"PE";1582;314;7,65770312479347;0,313351172040053;7,15784168243408;8,55094909667969;2022;1
"2610301";"Paranatama";"PE";1583;154;7,89089569488129;0,25863038569264;7,39002561569214;8,41899681091309;2022;1
"2610400";"Parnamirim";"PE";1584;2132;12,4053724961701;0,93321477990691;10,4805450439453;14,5606060028076;2022;1
"2610509";"Passira";"PE";1585;267;8,01050237055575;0,124063601737924;7,42198085784912;8,22684097290039;2022;1
"2610608";"Paudalho";"PE";1586;217;8,22644961704307;0,679066027694229;7,33504104614258;10,2225475311279;2022;1
"2610707";"Paulista";"PE";1587;80;16,2881497383118;1,49869041964804;11,7825536727905;19,3333530426025;2022;1
