"Cod","ano","PM25_Anual"
"2607950",2022,12.8260415686114
"2607950",2023,8.81855304153546
"2608008",2022,10.0322556263732
"2608008",2023,7.41708962077338
"2608057",2022,6.71370886082764
"2608057",2023,5.52871310781734
"2608107",2022,13.0576254089551
"2608107",2023,9.77623928629142
"2608206",2022,13.5300619734597
"2608206",2023,8.2694695736225
"2608255",2022,9.93035242786044
"2608255",2023,7.64443517036515
"2608305",2022,9.93208698091577
"2608305",2023,7.64443517036515
"2608404",2022,9.9728383522685
"2608404",2023,8.53808770217509
"2608453",2022,12.096054019956
"2608453",2023,8.31953583869544
"2608503",2022,11.8347712240036
"2608503",2023,8.29880749418791
"2608602",2022,10.0768790644648
"2608602",2023,7.50339255652766
"2608701",2022,12.6028742786435
"2608701",2023,8.81855304153546
"2608750",2022,6.02995473760474
